seriali	serialh	surveyyr	Outcome	IOut	ScrType	DMHSize7	Sex	AgeR	MarSt2_r	LiveW2	WrkStat	PTWork	EverWk	natidgby5_r	natidniy5_r	natiduky5	ethgrp5	ethgrp2	RelHRPr	Rel01r	Rel02r	Rel03r	Rel04r	Rel05r	Rel06r	Rel07r	Country
100101011	10010101	10	110	110	1	2	1	29	1	1	2	-1	-1	2	-1	2	1	1	0	0	1	-1	-1	-1	-1	-1	301
100101012	10010101	10	110	-1	1	2	2	27	1	1	3	-1	2	4	-1	5	1	1	1	1	0	-1	-1	-1	-1	-1	301
100101021	10010102	10	110	-1	1	4	1	23	1	2	3	-1	2	2	-1	2	1	1	3	0	4	3	3	-1	-1	-1	301
100101022	10010102	10	110	110	1	4	1	22	1	2	3	-1	2	2	-1	2	1	1	3	4	0	3	3	-1	-1	-1	301
100101023	10010102	10	110	-1	1	4	1	57	2	-1	2	-1	-1	2	-1	2	1	1	0	2	2	0	1	-1	-1	-1	301
100101024	10010102	10	110	-1	1	4	2	58	2	-1	2	-1	-1	2	-1	2	1	1	1	2	2	1	0	-1	-1	-1	301
100101091	10010109	10	110	110	1	2	1	74	2	-1	3	-1	1	4	-1	5	1	1	0	0	1	-1	-1	-1	-1	-1	301
100101092	10010109	10	110	-1	1	2	2	73	2	-1	3	-1	1	4	-1	5	1	1	1	1	0	-1	-1	-1	-1	-1	301
100101101	10010110	10	110	-1	1	2	1	72	2	-1	3	-1	1	2	-1	2	1	1	1	0	1	-1	-1	-1	-1	-1	301
100101102	10010110	10	110	110	1	2	2	71	2	-1	3	-1	1	2	-1	2	1	1	0	1	0	-1	-1	-1	-1	-1	301
100101151	10010115	10	110	-1	2	5	2	43	2	-1	2	-1	-1	2	-1	2	1	1	1	0	1	2	2	2	-1	-1	301
100101152	10010115	10	110	-1	2	5	1	43	2	-1	2	-1	-1	2	-1	2	1	1	0	1	0	2	2	2	-1	-1	301
100101153	10010115	10	110	-1	2	5	1	12	-1	-1	1	-1	-1	2	-1	2	1	1	3	3	3	0	4	4	-1	-1	301
100101154	10010115	10	110	110	2	5	2	16	1	2	1	1	-1	2	-1	2	1	1	3	3	3	4	0	4	-1	-1	301
100101155	10010115	10	110	-1	2	5	2	9	-1	-1	1	-1	-1	2	-1	2	1	1	3	3	3	4	4	0	-1	-1	301
100101191	10010119	10	110	-1	2	5	2	41	2	-1	2	-1	-1	2	-1	2	1	1	1	0	1	2	2	2	-1	-1	301
100101192	10010119	10	110	-1	2	5	1	45	2	-1	2	-1	-1	2	-1	2	1	1	0	1	0	2	2	2	-1	-1	301
100101193	10010119	10	110	-1	2	5	1	6	-1	-1	1	-1	-1	2	-1	2	1	1	3	3	3	0	4	4	-1	-1	301
100101194	10010119	10	110	-1	2	5	1	12	-1	-1	1	-1	-1	2	-1	2	1	1	3	3	3	4	0	4	-1	-1	301
100101195	10010119	10	110	110	2	5	1	9	-1	-1	1	-1	-1	2	-1	2	1	1	3	3	3	4	4	0	-1	-1	301
100102021	10010202	10	110	-1	1	5	1	32	2	-1	2	-1	-1	-1	3	5	1	1	0	0	1	2	2	2	-1	-1	402
100102022	10010202	10	110	110	1	5	2	38	2	-1	3	-1	1	-1	3	5	1	1	1	1	0	2	2	2	-1	-1	402
100102023	10010202	10	110	-1	1	5	1	7	-1	-1	1	-1	-1	-1	3	5	1	1	3	3	3	0	4	4	-1	-1	402
100102024	10010202	10	110	110	1	5	1	3	-1	-1	3	-1	-1	-1	3	5	1	1	3	3	3	4	0	4	-1	-1	402
100102025	10010202	10	110	-1	1	5	1	1	-1	-1	3	-1	-1	-1	3	5	1	1	3	3	3	4	4	0	-1	-1	402
100102081	10010208	10	110	-1	2	4	1	38	2	-1	2	-1	-1	-1	3	5	1	1	0	0	1	2	4	-1	-1	-1	402
100102082	10010208	10	110	-1	2	4	2	27	2	-1	3	-1	1	-1	1	6	1	1	1	1	0	2	2	-1	-1	-1	402
100102083	10010208	10	110	-1	2	4	2	6	-1	-1	1	-1	-1	-1	3	5	1	1	3	3	3	0	4	-1	-1	-1	402
