FoodNumber	FoodName	FoodCategory	Base	FoodGroupCode	Dilution	Units	Description	Comment	EdiblePortion	WATER	TOTNIT	NCF	PROT	FAT	CHO	KCALS	KJ	ALCO	STAR	TOTSUG	AOAC	GLUC	FRUCT	MALT	LACT	SUCR	OSUG	FREESUG	SATFA	CMON	CN3	CN6	TRANS	CHOL	RET	TOTCAR	ACAR	BCAR	BCRYPT	VITA	VITD	THIA	RIBO	NIACEQU	VITC	VITE	VITB6	VITB12	FOLT	PANTO	BIOT	NA	K	CA	MG	P	FE	HFE	NHFE	CU	ZN	CL	I	MN	SE	Fruit	DriedFruit	FruitJuice	SmoothieFruit	Tomatoes	TomatoPuree	Brassicaceae	YellowRedGreen	Beans	Nuts	OtherVeg	Beef	Lamb	Pork	ProcessRedMeat	OtherRedMeat	Burgers	Sausages	Offal	Poultry	ProcessedPoultry	GameBirds	WhiteFish	OilyFish	CannedTuna	Shellfish	CottageCheese	CheddarCheese	OtherCheese
1	ARROWROOT POWDER	F	100	1R	1	Grams	 	 	1	12.2	.1	5.7	.4	.1	94	355	1515	0	94	0	.1	0	0	0	0	0	0	0	.02	.03	0	.05	0	0	0	0	0	0	0	0	0	0	0	.1	0	0	0	0	0	0	0	5	18	7	8	27	2	0	2	.22	0	7	3	.47	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	PEARL BARLEY WHITE DRIED	F	100	1R	1	Grams	 	 	1	10.6	1.4	5.83	7.9	1.7	83.6	360	1535	0	83.6	0	9.9	0	0	0	0	0	0	0	.29	.14	.07	.7	0	0	0	0	0	0	0	0	0	.12	.05	4.8	0	.4	.2	0	20	.5	0	3	270	20	65	210	3	0	3	.4	2.1	110	7	1.3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	BARLEY PEARL WHITE BOILED IN WATER	F	100	1R	1	Grams	 	 	1	69.6	.5	5.83	2.7	.6	27.6	120	510	0	27.6	0	3.4	0	0	0	0	0	0	0	.1	.05	.03	.25	0	0	0	0	0	0	0	0	0	.02	.01	1.3	0	.1	0	0	3	.1	0	1	92	7	22	71	1	0	1	.14	.7	41	2	.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	BARLEY WHOLE GRAIN DRIED	F	100	1R	1	Grams	 	 	1	11.7	1.8	5.83	10.6	2.1	64	301	1282	0	62.2	1.8	14.8	.1	.1	.5	0	1	0	0	.53	.25	.11	1.15	0	0	0	0	0	0	0	0	0	.31	.1	7.8	0	.9	.6	0	50	.7	10	4	560	50	91	380	6	0	6	.3	3.3	23	7	1.7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	BARLEY WHOLEGRAIN BOILED IN WATER	F	100	1R	1	Grams	 	 	1	58.5	.6	5.83	3.5	.7	21.3	100	426	0	20.7	.6	4.9	0	0	.2	0	.3	0	0	.18	.08	.04	.38	0	0	0	0	0	0	0	0	0	.1	.03	2.6	0	.3	.2	0	17	.2	3	1	187	17	30	127	2	0	2	.1	1.1	8	2	.57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	WHEATGERM	F	100	1R	1	Grams	 	mw6 15-updated 20/04/05.  Updated for NDNS rolling programme using flours and grains analytical data, sample 54.  NK 24/1/07. Updated for NDNS RP yr2 08/04/10 EF	1	9.1	4.7	5.83	27.3	8.4	30.7	300	1266	0	20	10.6	13.9	.2	0	0	0	10.4	0	0	1.13	.82	.51	3.58	.01	0	0	0	0	0	0	0	0	1.8	.63	12.7	0	16.2	2.6	0	227	2.6	23	3	1045	45	240	1047	8.1	0	8.1	.82	14	107	0	13.5	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	BRAN WHEAT	F	100	1R	1	Grams	 	Updated for NDNS rolling programme using flours and grains analytical data, sample 53.  NK 24/1/07. Updated for NDNS RP yr2 08/04/10 EF	1	10.4	2.4	6.31	14.8	2.9	20.6	163	689	0	18.3	2.3	41.3	0	0	0	0	2.3	0	0	.47	.39	.11	1.39	.01	0	0	0	0	0	0	0	0	.93	.33	32	0	1	1.2	0	76	2.5	32	3	1269	65	389	1078	8.6	0	8.6	1.04	5.6	95	0	5.85	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	CORNFLOUR	F	100	1R	1	Grams	 	mw6 4-updated 26/04/05. Updated for NDNS rolling programme using flours and grains analytical data, sample 47.  NK 24/1/07-Southgate field contains AOAC data DP 17/11/11-	1	11	0	6.25	.2	.7	99	378	1613	0	99	0	0	0	0	0	0	0	0	0	.12	.05	.04	.36	0	0	0	0	0	0	0	0	0	.02	0	.1	0	0	0	0	2	0	0	11	3	2	2	17	.1	0	.1	0	0	30	0	.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	CORNMEAL SIFTED DRY	F	100	1R	1	Grams	 	 	1	12.2	1.5	6.25	9.4	3.3	80.4	369	1568	0	80.4	0	2.2	0	0	0	0	0	0	0	.53	1.27	.05	1.24	0	0	0	24	0	5	38	4	0	.26	.08	2	3	0	.4	0	1	.7	6	0	170	3	44	120	1.3	0	1.3	.15	1	12	3	.2	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	CORN MEAL UNSIFTED DRIED	F	100	1R	1	Grams	 	 	1	12.2	1.5	6.25	9.3	3.8	80.4	373	1585	0	80.4	0	4.3	0	0	0	0	0	0	0	.61	1.46	.06	1.43	0	0	0	24	0	5	38	4	0	.3	.08	2.8	3	0	.4	0	1	.7	6	1	280	17	44	220	4.2	0	4.2	.15	1	12	3	.2	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	CUSTARD POWDER	F	100	1R	1	Grams	Updated for Yr4 RP - based on market leader Birds SD 21/06/12	Updated NaCl for Yr4 RP 21/06/12 SKD-	1	12.5	.1	6.25	.6	.7	92	354	1508	0	92	0	5.6	0	0	0	0	0	0	0	.11	.2	.01	.33	0	0	0	0	0	0	0	0	0	0	0	.1	0	0	0	0	0	0	0	380	61	15	7	39	1.4	0	1.4	.05	.3	570	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	FLOUR BROWN (85%)	F	100	1R	1	Grams	 	mw6 10-updated 26/04/05. Updated for NDNS rolling programme using flours and grains analytical data, sample 39.  NK 24/1/07	1	11.6	2.1	5.7	12.2	2	72.5	339	1442	0	71.5	1	7.7	0	0	.1	0	.9	0	0	.29	.21	.05	.77	0	0	0	0	0	0	0	0	0	.39	.1	6.3	0	.9	.4	0	44	.7	4	2	295	28	72	256	2.4	0	2.4	.32	2.2	82	0	2.33	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	FLOUR CHAPATI BROWN	F	100	1R	1	Grams	 	27/08/04 Updated with MW6 BH. Updated for NDNS rolling programme using flours and grains analytical data, sample 42.  NK 24/1/07. Updated for NDNS RP yr2 08/04/10 EF	1	11.2	1.8	5.7	10.3	1.9	73.1	332	1415	0	71.9	1.1	7.9	0	0	.2	0	.9	0	0	.29	.18	.05	.75	0	0	0	0	0	0	0	0	0	.35	.09	6.2	0	1.2	.2	0	28	.6	3	14	974	54	110	377	4.6	0	4.6	.75	3	126	0	2.05	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	FLOUR CHAPATI WHITE	F	100	1R	1	Grams	 	27/08/04 Updated with MW6 BH.  Updated for NDNS rolling programme using flours and grains analytical data, sample 41.  NK 24/1/07	1	11.8	1.7	5.7	9.7	1.4	78.3	345	1469	0	77.7	.6	3.6	0	0	0	0	.5	0	0	.35	.17	.01	.41	0	0	0	0	0	0	0	0	0	.31	.05	3.9	0	.4	.1	0	14	.6	2	2	189	60	28	130	1.8	0	1.8	.19	.8	111	0	.71	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	FLOUR WHITE HOUSEHOLD PLAIN	F	100	1R	1	Grams	 	mw6 12-updated 26/04/05.  Updated for NDNS rolling programme using flours and grains analytical data, sample 33.  NK 24/1/07	1	11.6	1.6	5.7	9.1	1.4	80.9	352	1501	0	80.3	.6	4	0	0	.1	0	.5	0	0	.44	.23	0	.23	0	0	0	0	0	0	0	0	0	.28	.05	3.7	0	.6	.2	0	16	.4	2	2	175	96	23	114	1.9	0	1.9	.15	.7	143	0	.7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
