"Marine Scotland Site ID","Date Registered","Site Name","National Grid Reference","Local Authority","Producing in Last 3 Years","Site Address 1","Site Address 2","Site Address 3","Site Post Code","Site Contact Number","Aquaculture Type","Water Type","Health Surveillance","Easting","Northing","MS Management Area","Region","Operator","Species"
"FS1347","18-Nov-2020","AGRF (Hatchery - RAS A)","NT252642","Midlothian","No","The Roslin Institute","Easter Bush Campus","","EH25 9RG","","Fish","Freshwater","Low","325200","664200","","Lothian","The Roslin Institute","N/A, Rainbow Trout, Atlantic Salmon"
"FS1353","02-Jul-2021","AGRF (RAS B)","NT252642","Midlothian","No","The Roslin Institute","Easter Bush Campus","","EH25 9RG","","Fish","Freshwater","Low","325200","664200","Not in a management area","Lothian","The Roslin Institute","Rainbow Trout, N/A, Atlantic Salmon"
"FS0258","14-May-1979","Abbey St Bathans Trout Farm","NT760620","Scottish Borders","Yes","Duns","Berwickshire","","TD11 3TX","","Fish","Freshwater","Low","376000","662000","Not in a management area","Borders","Abbey St Bathans Trout Farm","Rainbow Trout, N/A"
"SS0570","01-Aug-1998","Acairseid Mhor","NM519550","Argyll and Bute","Yes","Calve Island","Sound of Mull","Argyll","PA75 6NU","","Shellfish","Seawater","Low","151900","755000","15b - Linnhe, Firth of Lorne, Sound of Mull and Loch Sunart","Strathclyde","R.B. & S.L.  Barlow","King scallop, N/A"
"SS0575","26-May-1999","Achnacloich (Site 1)","NM964341","Argyll and Bute","No","Achnacloich","Connel by Oban","Argyll","PA37 1PR","","Shellfish","Seawater","Low","196400","734100","15b - Linnhe, Firth of Lorne, Sound of Mull and Loch Sunart","Strathclyde","Muckairn Mussels","N/A, Pacific Oyster, Common mussel, Flat or native oyster"
"SS0571","01-Jan-1997","Achnacloich - (Abbots) (Site 2)","NM967343","Argyll and Bute","No","N/A","","","","","Shellfish","Seawater","Low","196700","734300","15b - Linnhe, Firth of Lorne, Sound of Mull and Loch Sunart","Strathclyde","Muckairn Mussels","Common mussel, N/A"
"FS0189","24-Oct-1991","Ae Fishery","NX996886","Dumfries and Galloway","Yes","Ae Fishery","Parkgate","","DG1 3LY","","Fish","Freshwater","Medium","299600","588600","Not in a management area","Dumfries & Galloway","Brow Well Fisheries Ltd","Tiger trout, Rainbow Trout, N/A, Brook charr/ trout, Brown Trout and sea trout"
"FS0594","17-Apr-1989","Aird","NG789560","Highland","Yes","Aird","Sheildaig","","IV54 8XH","","Fish","Seawater","Medium","178900","856000","11a - Torridon","Highland","Bakkafrost Scotland","Wrasse, Lumpsucker, Atlantic Salmon, N/A"
"SS0809","16-Jul-2009","Aird Chaol","NB132326","Western Isles","Yes","West Earshader","Bernera","","HS2 9LP","","Shellfish","Seawater","Medium","113200","932600","6a - Loch Roag","Western Isles","Loch Fyne Oysters Ltd","Common mussel, N/A"
"SS0844","08-Aug-2012","Aird Earshader Relay Area","NB159340","Western Isles","No","N/A","","","","","Shellfish","Seawater","Low","115900","934000","","Western Isles","Loch Fyne Oysters Ltd","N/A, Pacific Oyster"
"SS0479","20-Dec-1991","Airde Bige","NC207498","Highland","Yes","Loch Laxford","Sutherland","","-","","Shellfish","Seawater","Medium","220700","949800","9b - Laxford","Highland","Loch Laxford Shellfish Ltd.","Common mussel, N/A"
"SS0906","03-Apr-2017","Aith Voe West","HU345568","Shetland","Yes","Vadlure","Walls","","ZE2 9PF","","Shellfish","Seawater","Medium","434500","1156800","4a - South St Magnus Bay","Shetland","Shetland Mussels Ltd","N/A, Common mussel"
"FS0250","24-Sep-1996","Alisary","NM737807","Highland","No","N/A","","","","","Fish","Seawater","","173700","780700","","Highland","Mowi Scotland Ltd","Atlantic Salmon, N/A"
