"Title","RPI: Ave price - Salmon fillets, per Kg"
"CDID","ZPTX"
"Source dataset ID","MM23"
"PreUnit",""
"Unit","Pence"
"Release date","21-06-2023"
"Next release","19 July 2023"
"Important notes",
"2000","0"
"2001","940"
"2002","965"
"2003","931"
"2004","876"
"2005","810"
"2006","950"
"2007","1018"
"2008","999"
"2009","1136"
"2010","1396"
"2011","1531"
"2012","1584"
"2013","1556"
"2014","1704"
"2015","1491"
"2016","1518"
"2017","1608"
"2018","1723"
"2019","1589"
"2020","1518"
"2021","1426"
"2022","1738"
"2000 Q1","0"
"2000 Q2","0"
"2000 Q3","0"
"2000 Q4","0"
"2001 Q1","957"
"2001 Q2","931"
"2001 Q3","933"
"2001 Q4","941"
"2002 Q1","947"
"2002 Q2","954"
"2002 Q3","968"
"2002 Q4","992"
"2003 Q1","943"
"2003 Q2","935"
"2003 Q3","925"
"2003 Q4","922"
"2004 Q1","889"
"2004 Q2","917"
"2004 Q3","852"
"2004 Q4","844"
"2005 Q1","806"
"2005 Q2","793"
"2005 Q3","823"
"2005 Q4","819"
"2006 Q1","850"
"2006 Q2","895"
"2006 Q3","1014"
"2006 Q4","1042"
"2007 Q1","1020"
"2007 Q2","1027"
"2007 Q3","1012"
"2007 Q4","1014"
"2008 Q1","984"
"2008 Q2","1003"
"2008 Q3","1007"
"2008 Q4","1002"
"2009 Q1","1091"
"2009 Q2","1160"
"2009 Q3","1143"
"2009 Q4","1150"
"2010 Q1","1238"
"2010 Q2","1329"
"2010 Q3","1457"
"2010 Q4","1559"
"2011 Q1","1569"
"2011 Q2","1523"
"2011 Q3","1511"
"2011 Q4","1520"
"2012 Q1","1580"
"2012 Q2","1593"
"2012 Q3","1583"
"2012 Q4","1579"
"2013 Q1","1521"
"2013 Q2","1520"
"2013 Q3","1545"
"2013 Q4","1639"
"2014 Q1","1684"
"2014 Q2","1700"
"2014 Q3","1732"
"2014 Q4","1701"
"2015 Q1","1627"
"2015 Q2","1460"
"2015 Q3","1459"
"2015 Q4","1417"
"2016 Q1","1462"
"2016 Q2","1477"
"2016 Q3","1556"
"2016 Q4","1576"
"2017 Q1","1566"
"2017 Q2","1607"
"2017 Q3","1649"
"2017 Q4","1610"
"2018 Q1","1699"
"2018 Q2","1770"
"2018 Q3","1704"
"2018 Q4","1721"
"2019 Q1","1639"
"2019 Q2","1587"
"2019 Q3","1559"
"2019 Q4","1571"
"2020 Q1","1549"
"2020 Q2","1534"
"2020 Q3","1537"
"2020 Q4","1454"
"2021 Q1","1432"
"2021 Q2","1396"
"2021 Q3","1421"
"2021 Q4","1456"
"2022 Q1","1582"
"2022 Q2","1700"
"2022 Q3","1803"
"2022 Q4","1866"
"2023 Q1","1876"
"2000 JAN","0"
"2000 FEB","0"
"2000 MAR","0"
"2000 APR","0"
"2000 MAY","0"
"2000 JUN","0"
"2000 JUL","0"
"2000 AUG","0"
"2000 SEP","0"
"2000 OCT","0"
"2000 NOV","0"
"2000 DEC","0"
"2001 JAN","946"
"2001 FEB","959"
"2001 MAR","965"
"2001 APR","902"
"2001 MAY","944"
"2001 JUN","946"
"2001 JUL","909"
"2001 AUG","915"
"2001 SEP","976"
"2001 OCT","949"
"2001 NOV","961"
"2001 DEC","913"
"2002 JAN","957"
"2002 FEB","929"
"2002 MAR","954"
"2002 APR","965"
"2002 MAY","937"
"2002 JUN","959"
"2002 JUL","978"
"2002 AUG","961"
"2002 SEP","964"
"2002 OCT","993"
"2002 NOV","1002"
"2002 DEC","980"
"2003 JAN","950"
"2003 FEB","937"
"2003 MAR","941"
"2003 APR","926"
"2003 MAY","974"
"2003 JUN","905"
"2003 JUL","938"
"2003 AUG","883"
"2003 SEP","954"
"2003 OCT","898"
"2003 NOV","901"
"2003 DEC","966"
"2004 JAN","914"
"2004 FEB","836"
"2004 MAR","918"
"2004 APR","925"
"2004 MAY","913"
"2004 JUN","912"
"2004 JUL","859"
"2004 AUG","849"
"2004 SEP","849"
"2004 OCT","859"
"2004 NOV","828"
"2004 DEC","845"
"2005 JAN","851"
"2005 FEB","776"
"2005 MAR","790"
"2005 APR","772"
"2005 MAY","810"
"2005 JUN","796"
"2005 JUL","830"
"2005 AUG","823"
"2005 SEP","815"
"2005 OCT","815"
"2005 NOV","821"
"2005 DEC","821"
"2006 JAN","828"
"2006 FEB","862"
"2006 MAR","859"
"2006 APR","873"
"2006 MAY","889"
"2006 JUN","924"
"2006 JUL","993"
"2006 AUG","1035"
"2006 SEP","1015"
"2006 OCT","1035"
"2006 NOV","1040"
"2006 DEC","1050"
"2007 JAN","1005"
"2007 FEB","1031"
"2007 MAR","1025"
"2007 APR","1025"
"2007 MAY","1018"
"2007 JUN","1038"
"2007 JUL","999"
"2007 AUG","1018"
"2007 SEP","1020"
"2007 OCT","1028"
"2007 NOV","1026"
"2007 DEC","989"
"2008 JAN","989"
"2008 FEB","1007"
"2008 MAR","955"
"2008 APR","1018"
"2008 MAY","1025"
"2008 JUN","965"
"2008 JUL","995"
"2008 AUG","1009"
"2008 SEP","1018"
"2008 OCT","1050"
"2008 NOV","990"
"2008 DEC","965"
"2009 JAN","1007"
"2009 FEB","1169"
"2009 MAR","1096"
"2009 APR","1177"
"2009 MAY","1175"
"2009 JUN","1128"
"2009 JUL","1143"
"2009 AUG","1140"
"2009 SEP","1145"
"2009 OCT","1153"
"2009 NOV","1152"
"2009 DEC","1145"
"2010 JAN","1171"
"2010 FEB","1274"
"2010 MAR","1268"
"2010 APR","1304"
"2010 MAY","1311"
"2010 JUN","1372"
"2010 JUL","1469"
"2010 AUG","1460"
"2010 SEP","1442"
"2010 OCT","1529"
"2010 NOV","1564"
"2010 DEC","1583"
"2011 JAN","1578"
"2011 FEB","1566"
"2011 MAR","1564"
"2011 APR","1447"
"2011 MAY","1567"
"2011 JUN","1555"
"2011 JUL","1530"
"2011 AUG","1490"
"2011 SEP","1514"
"2011 OCT","1575"
"2011 NOV","1536"
"2011 DEC","1450"
"2012 JAN","1496"
"2012 FEB","1639"
"2012 MAR","1605"
"2012 APR","1587"
"2012 MAY","1622"
"2012 JUN","1569"
"2012 JUL","1570"
"2012 AUG","1613"
"2012 SEP","1566"
"2012 OCT","1596"
"2012 NOV","1523"
"2012 DEC","1619"
"2013 JAN","1615"
"2013 FEB","1452"
"2013 MAR","1495"
"2013 APR","1453"
"2013 MAY","1536"
"2013 JUN","1570"
"2013 JUL","1546"
"2013 AUG","1549"
"2013 SEP","1539"
"2013 OCT","1644"
"2013 NOV","1639"
"2013 DEC","1634"
"2014 JAN","1616"
"2014 FEB","1709"
"2014 MAR","1727"
"2014 APR","1641"
"2014 MAY","1744"
"2014 JUN","1714"
"2014 JUL","1789"
"2014 AUG","1729"
"2014 SEP","1679"
"2014 OCT","1711"
"2014 NOV","1716"
"2014 DEC","1675"
"2015 JAN","1673"
"2015 FEB","1601"
"2015 MAR","1607"
"2015 APR","1462"
"2015 MAY","1452"
"2015 JUN","1467"
"2015 JUL","1508"
"2015 AUG","1437"
"2015 SEP","1432"
"2015 OCT","1422"
"2015 NOV","1386"
"2015 DEC","1444"
"2016 JAN","1419"
"2016 FEB","1537"
"2016 MAR","1431"
"2016 APR","1413"
"2016 MAY","1510"
"2016 JUN","1507"
"2016 JUL","1574"
"2016 AUG","1519"
"2016 SEP","1574"
"2016 OCT","1598"
"2016 NOV","1559"
"2016 DEC","1572"
"2017 JAN","1619"
"2017 FEB","1510"
"2017 MAR","1570"
"2017 APR","1580"
"2017 MAY","1589"
"2017 JUN","1653"
"2017 JUL","1626"
"2017 AUG","1629"
"2017 SEP","1691"
"2017 OCT","1591"
"2017 NOV","1642"
"2017 DEC","1597"
"2018 JAN","1627"
"2018 FEB","1729"
